序号	汉字	累计频率	频率	拼音	英文	
322	府	62.60513501	0.067756697	fu3	prefecture/mansion	
323	眼	62.67287587	0.067740858	yan3	eye	
324	领	62.740575	0.067699135	ling3	neck/collar/to lead/to receive	
325	清	62.80827182	0.067696817	qing1	clear/distinct/complete/pure	
326	决	62.87564258	0.067370763	jue2	breach (a dyke)/to decide/to determine	
327	笑	62.94264596	0.067003373	xiao4	laugh/smile	
328	告	63.00961185	0.066965899	gao4	to tell/to inform/to say	
329	叫	63.07560732	0.065995463	jiao4	to (be) call(ed)	
330	队	63.1414695	0.065862183	dui4	squadron/team/group	
331	强	63.20708869	0.065619187	qiang2	strength/force/power/powerful/better	
332	往	63.27249656	0.06540787	wang3/wang4	"to go (in a direction)/past/previous/towards, toward/(of a train) bound for"	
333	区	63.33772402	0.065227459	ou1/qu1	"Ou (surname), area/region/district/small/distinguish"	
334	交	63.4028549	0.065130879	jiao1	to deliver/to turn over/to make friends/to intersect (lines)/to pay (money)	
335	武	63.467968	0.065113108	wu3	martial/military	
336	达	63.5330618	0.065093792	da2	attain/pass through/achieve/reach/realize/clear/inform/notify/dignity	
337	社	63.59807291	0.065011119	she4	society/group	
338	权	63.66250533	0.064432412	quan2	authority/power/right	
339	科	63.72663023	0.064124901	ke1	"branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody"	
340	九	63.79070838	0.064078156	jiu3	nine/9	
341	设	63.85468687	0.063978486	she4	to set up/to arrange/to establish/to found/to display	
342	李	63.9181755	0.063488631	li3	(a surname)/plum	
343	观	63.98155905	0.063383552	guan1/guan4	"to look at/to watch/to observe/to behold, Taoist monastery"	
344	记	64.04482323	0.063264179	ji4	to remember/to note/mark/sign/to record	
345	改	64.10777411	0.062950874	gai3	to change/to alter/to transform/to correct	
346	展	64.17057431	0.062800209	zhan3	to use/to spread out/to postpone/to unfold	
347	字	64.23330692	0.062732603	zi4	letter/symbol/character/word	
348	故	64.29598698	0.062680063	gu4	happening/instance/reason/cause/deceased/old	
349	品	64.35844143	0.062454452	pin3	conduct/grade/thing/product/good	
350	议	64.420661	0.06221957	yi4	criticize/discuss	
351	象	64.48276584	0.062104833	xiang4	shape/form/appearance/elephant/image under a map (math.)	
352	花	64.54462999	0.061864155	hua1	"flower/blossom/to spend (money, time)/fancy pattern"	
353	七	64.6061905	0.061560507	qi1	seven/7	
354	完	64.66772087	0.061530374	wan2	to finish/to be over/whole/complete/entire	
355	林	64.72911294	0.061392072	lin2	woods/forest	
356	基	64.79049961	0.061386663	ji1	base/foundation/basic/radical (chem.)	
357	服	64.85185034	0.061350736	fu2	clothes/dress/garment/submit/take (medicine)	
358	带	64.91317906	0.061328715	dai4	band/belt/girdle/ribbon/area/zone/region/wear/carry/lead/bring/consists of/show/and	
359	据	64.97435827	0.061179209	ju1/ju4	"sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy"	
360	界	65.0355031	0.061144827	jie4	boundary/scope/extent/circles/group/kingdom (taxonomy)	
361	云	65.0962531	0.060750008	yun2	"(classical) to say, cloud/(abbr.) for Yunnan/surname"	
362	觉	65.1568679	0.060614796	jiao4/jue2	"a nap/a sleep, feel/find that/thinking/awake/aware"	
363	像	65.21704345	0.06017555	xiang4	(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem	
364	院	65.27712937	0.060085923	yuan4	courtyard/institution	
365	飞	65.33629044	0.059161073	fei1	to fly	
366	远	65.39511426	0.058823815	yuan3	far/distant/remote	
367	收	65.4539149	0.058800636	shou1	to receive/to accept/to collect/in care of (used on address line after name)	
368	石	65.51236398	0.058449085	dan4/shi2	"10 pecks, rock/stone"	
369	众	65.57057316	0.05820918	zhong4	multitude	
370	车	65.62861197	0.058038813	che1/ju1	"car/a vehicle/machine/to shape with a lathe, vehicle on land"	
371	候	65.68636066	0.057748686	hou4	wait	
372	类	65.74408423	0.057723575	lei4	kind/type/class/category/similar/like/to resemble	
373	程	65.80170891	0.057624678	cheng2	rule/order/regulations/formula/journey/procedure/sequence/a surname	
374	转	65.8593193	0.057610384	zhuan3/zhuan4	"to convey/to forward (mail)/to transfer/to turn/to shift, to revolve/to turn/to circle about/to walk about"	
375	共	65.91692698	0.057607679	gong4	all together/in while/to share/common/general/together	
376	千	65.9745165	0.057589522	qian1	"thousand, a swing"	
377	式	66.03203378	0.05751728	shi4	type/form/pattern/style	
378	失	66.08950354	0.057469763	shi1	to lose/to miss/to fail	
379	流	66.14690956	0.05740602	liu2	to flow/to spread/to circulate/to move	
380	每	66.20411894	0.057209383	mei3	each/every	
381	该	66.26116685	0.057047901	gai1	that/the above-mentioned/most likely/to deserve/should/ought to/owe	
382	朝	66.31820663	0.057039789	chao2/zhao1	"to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning"	
383	始	66.37507451	0.056867876	shi3	begin	
384	连	66.43158234	0.056507826	lian2	(surname)/even/as/join/to link/successively	
385	术	66.48796654	0.056384203	shu4/zhu2	"method/technique, Atractylis lancea var. ovata"	
386	近	66.54433181	0.056365274	jin4	near/close (to)/approximately	
387	格	66.60054797	0.056216154	ge2	frame/rule	
388	济	66.65675176	0.056203792	ji4	aid/ferry/frugal	
389	干	66.71285897	0.056107212	gan1/gan4	"dry/to concern/shield, to work/to do/to manage, manage/stem"	
390	运	66.76890785	0.056048878	yun4	to move/to transport/to use/to apply/fortune/luck/fate	
391	怎	66.82490844	0.056000587	zen3	how	
392	步	66.88085996	0.055951525	bu4	a step/a pace/walk/march/stages in a process	
393	台	66.93668941	0.055829448	tai2	"surname/(classical) you (in letters)/platform/Taiwan (abbr.), desk/platform, (measure word)/platform/stage/terrace/stand/support/desk/station/broadcasting station, typhoon"	
394	让	66.99220671	0.055517301	rang4	to ask/to let/permit/have (someone do something)/to yield/to allow	
395	江	67.04742229	0.055215585	jiang1	river	
396	河	67.10228942	0.054867124	he2	river	
397	识	67.15696106	0.054671646	shi2/zhi4	"to know/knowledge, to record/write a footnote"	
398	规	67.21158674	0.054625674	gui1	compass/rule	
399	拉	67.26595705	0.054370316	la1	to pull/to play (string instruments)/to drag/to draw	
400	切	67.32015005	0.054192995	qie1/qie4	"to cut/to slice, close to"	
401	极	67.37432991	0.05417986	ji2	"extremely/pole (geography, physics)/utmost/top"	
402	持	67.42843985	0.054109936	chi2	to grasp/to hold/support/manage/direct/maintain	
403	若	67.48253742	0.054097574	ruo4	to seem/like/as/if	
404	英	67.53635723	0.05381981	ying1	(surname)/English/brave	
405	争	67.58975595	0.053398721	zheng1	struggle/fight	
406	功	67.64301251	0.053256555	gong1	merit/achievement/result/service/accomplishment	
407	深	67.69619991	0.053187404	shen1	deep/profound	
408	备	67.74930735	0.053107435	bei4	to prepare/get ready/to provide or equip	
409	造	67.80230429	0.052996948	zao4	to make/to build/to invent/to manufacture	
410	阳	67.85500532	0.052701027	yang2	positive (electric.)/sun	
411	快	67.90760243	0.052597107	kuai4	fast/quick/swift	
412	集	67.95975758	0.052155156	ji2	to gather/to collect/collected works	
413	布	68.01176246	0.052004878	bu4	"diffuse/extend/notify, to declare/to announce/to spread/to make known/spread/(cotton) cloth"	
414	尽	68.06315502	0.05139256	jin3/jin4	"to the utmost, to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)"	
415	周	68.11453947	0.051384448	zhou1	"(surname)/complete/encircle/circuit/lap/week/cycle/all/every/attentive/thoughtful, bestow alms, cycle/week"	
416	宗	68.1658057	0.051266234	zong1	school/sect/purpose/model/ancestor/family	
417	病	68.21705648	0.051250781	bing4	ailment/sickness/illness/disease/fall ill/sick/defect	
418	华	68.26820643	0.051149951	hua2/hua4	"(abbreviation for) China/(surname) Hua/magnificent/splendid/flowery, (surname)/name of a mountain"	
419	称	68.31917675	0.050970312	chen4/cheng1/cheng4	"balanced/to fit/well-off/suitable, to call/to praise/to weigh/to estimate/to consider/to call/to address/to name/to say/commend, steelyard"	
420	罗	68.37010456	0.050927817	luo1/luo2	"fussy/talkative, subordinate in a gang of bandits, (surname)/gauze/to collect/to gather/to catch/to shift"	
421	爱	68.4209188	0.050814239	ai4	to love/affection/to be fond of/to like	
422	导	68.47167162	0.050752814	dao3	to transmit/to lead/to guide/to conduct/to direct	
423	确	68.52236571	0.050694093	que4	"authenticated/solid/firm, authenticated/solid/firm/real/true"	
424	呢	68.57297134	0.050605626	ne/ni2	"(question particle), woolen material"	
425	办	68.62345373	0.05048239	ban4	to do/to manage/to handle/to go about/to run/to set up/to deal with	
426	节	68.67386349	0.050409762	jie2/jie1	festival/section/segment/point/part/to economize/to save/temperate	
427	根	68.72426552	0.050402035	gen1	radical (chem.)/root/basis	
428	击	68.7745196	0.050254075	ji1	to hit/to strike/to break	
429	商	68.82379203	0.049272435	shang1	commerce/consult	
430	陈	68.87287517	0.049083138	chen2	arrange/exhibit/narrate/tell/old/stale/a surname/to state/to display/to explain/(surname)	
431	火	68.92191543	0.049040257	huo3	fire	
432	兴	68.97078029	0.048864867	xing1/xing4	"flourish/it is the fashion to/to become popular, interest"	
433	京	69.01956442	0.048784126	jing1	capital/Beijing (abbrev.)	
434	注	69.06834043	0.048776014	zhu4	"to inject/to pour into/to concentrate/to pay attention/to note/to comment on/to record/to register/to annotate, annotate"	
435	虽	69.11709752	0.048757084	sui1	although/even though	
436	杀	69.16584803	0.048750516	sha1	to kill/to murder/to slaughter	
437	父	69.2145182	0.048670162	fu4	father	
438	存	69.26314818	0.048629985	cun2	exist/deposit/store/keep/survive	
439	臣	69.31172872	0.048580536	chen2	statesman/vassal/courtier/minister/official	
440	准	69.36025246	0.048523747	zhun3	"to allow/to grant/to permit/accurate/standard, accurate/standard"	
441	广	69.40855755	0.048305089	guang3	wide/numerous/to spread	
442	首	69.45684217	0.048284614	shou3	head/chief/first (occasion)/first (thing)/measure word for poems	
443	乎	69.5048861	0.048043937	hu1	(interrog. part.)	
444	具	69.55275272	0.047866616	ju4	tool/device/utensil/equipment/instrument	
445	甚	69.60060697	0.047854254	shen4	very/extremely/more (than)	
446	黄	69.64841101	0.047804032	huang2	(surname)/sulfur/yellow	
447	满	69.69618066	0.04776965	man3	Manchurian/to fill/to fulfill/filled/packed	
448	容	69.7439167	0.04773604	rong2	to hold/to contain/to allow/appearance/look/countenance	
449	单	69.79162762	0.047710929	chan2/dan1/shan4	"chieftain, bill/list/form/single/only/sole, (surname)"	
450	联	69.83932001	0.047692385	lian2	to ally/to unite/to join	
451	调	69.88676129	0.047441277	diao4/tiao2	"mode (music)/to move (troops)/tune/tone/melody/to transfer, harmonize/reconcile/blend/suit well/provoke/incite"	
452	吃	69.93410637	0.047345084	chi1/ji2	"eat/eradicate/destroy/receive, eat, stammer"	
453	古	69.98142828	0.047321905	gu3	ancient/old	
454	算	70.02853268	0.047104406	suan4	regard as/to figure/to calculate/to compute	
455	坐	70.07562125	0.047088567	zuo4	"to sit/to take a seat/to take (a bus, airplane etc.)"	
456	早	70.1226932	0.047071955	zao3	early/morning	
457	引	70.16974855	0.047055344	yin3	to lead/to divert (water)/to guide	
458	须	70.21664782	0.04689927	xu1	"beard/necessary/must, beard/mustache"	
459	离	70.26347794	0.046830119	li2	to leave/to depart/to go away/from	
460	证	70.31030342	0.046825483	zheng4	"prove, confirm, verify/proof, certificate/proof/to prove/to demonstrate/to confirm/certificate/proof"	
461	约	70.35709954	0.046796123	yao1/yue1	"weigh, appointment/agreement/to arrange/to restrict/approximately"	
462	母	70.40384892	0.046749378	mu3	female/mother	
463	组	70.45039084	0.046541924	zu3	to form/compose/make up/group/to organize/cord	
464	房	70.49681919	0.046428346	fang2	house	
465	曾	70.54298407	0.046164875	ceng2/zeng1	"(refers to something that happened previously)/already/at some time in the past/before/once, (surname)/great-grand (father)"	
466	似	70.58912653	0.046142469	si4	to seem/to appear/similar/like/to resemble	
467	易	70.63479885	0.045672317	yi4	(surname)/change/easy/simple	
468	随	70.68045069	0.045651842	sui2	to follow/to comply with/to allow/(surname)	
469	精	70.72601793	0.045567238	jing1	energy/perfect/excellent/refined/very/proficient	
470	视	70.77141133	0.045393394	shi4	to look at/to regard/to inspect	
471	尚	70.81676068	0.045349354	shang4	still/yet/to value/to esteem	
472	断	70.86210888	0.045348195	duan4	absolutely/decidedly (in negative constructions)/break/to judge	
473	乃	70.90745475	0.045345877	nai3	to be/thus/so/therefore/then/only/thereupon	
474	影	70.9527253	0.045270544	ying3	picture/image/reflection/shadow	
475	除	70.99796803	0.045242729	chu2	remove/do away with/wipe out/divide/except	
476	青	71.0431644	0.045196371	qing1	"green (blue, black)"	
477	初	71.08829548	0.045131083	chu1	at first/(at the) beginning/first/junior/basic	
478	息	71.13322683	0.044931355	xi1	news/interest/breath/rest	
479	守	71.17809097	0.044864136	shou3	to guard	
480	党	71.22291956	0.044828594	dang3	"party, party/association/club/society"	
481	半	71.26730814	0.044388575	ban4	half/semi-/incomplete/(after a number) and a half/half	
482	县	71.31154759	0.044239456	xian4	a district/county	
483	轻	71.35573374	0.044186144	qing1	light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/soft	
484	质	71.39989091	0.044157169	zhi4	hostage/substance/nature/quality	
485	语	71.44402297	0.044132059	yu3/yu4	"dialect/language/speech, tell to"	
486	越	71.48811292	0.04408995	yue4	to exceed/to climb over/to surpass/the more ... the more	
487	况	71.53217969	0.044066771	kuang4	moreover/situation	
488	举	71.57617151	0.043991824	ju3	to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect	
489	皇	71.6199864	0.04381489	huang2	(surname)/emperor	
490	钱	71.66376961	0.043783212	qian2	(surname)/coin/money	
491	历	71.7075478	0.043778189	li4	"calendar, to experience/to undergo/to pass through/all/each/every/calendar"	
492	留	71.75128968	0.043741875	liu2	leave (message)/to retain/to stay/to remain/to keep/to preserve	
493	乐	71.7949794	0.043689722	le4/yue4	"(surname)/happy/laugh/cheerful, (surname)/music"	
494	章	71.83863358	0.043654181	zhang1	(surname)/chapter/seal/section	
495	照	71.88210735	0.043473769	zhao4	according to/in accordance with/to shine/to illuminate/to reflect/photograph	
496	器	71.9253953	0.043287949	qi4	device/tool/utensil	
497	写	71.96867745	0.043282154	xie3	to write	
498	团	72.01167219	0.042994732	tuan2	"regiment/round/circular/group/society, dumpling"	
499	诸	72.05449539	0.042823206	zhu1	(surname)/all/many/various	
500	闻	72.09718223	0.042686835	wen2	(surname)/hear/sniff at	
501	亦	72.13985824	0.042676018	yi4	also	
502	足	72.18241914	0.042560895	zu2	foot/to be sufficient	
503	余	72.22484946	0.042430318	yu2	extra/surplus/remaining/after/I/me	
504	整	72.26724269	0.042393232	zheng3	exactly/in good order/whole/complete/entire/in order/orderly	
505	价	72.30957604	0.042333352	jia4/jie	"price/value/valence (on an atom), great/good/middleman/servant"	
506	号	72.35187656	0.042300515	hao2/hao4	"roar/cry, day of a month/(suffix used after) name of a ship/(ordinal) number"	
507	级	72.39414037	0.042263814	ji2	level/grade/rank/step	
508	参	72.43639684	0.042256474	can1/shen1	"take part in/participate/join/attend/to join/unequal/varied/irregular/to counsel/uneven/not uniform, ginseng"	
509	示	72.47853704	0.042140192	shi4	to show/reveal	
510	支	72.52046166	0.041924625	zhi1	(a measure word)/to support/to sustain/to erect/to raise/branch/division/to draw money	
511	红	72.56236967	0.041908013	hong2	bonus/popular/red/revolutionary	
512	阿	72.60424446	0.04187479	a1/a4/a/e1	"an initial particle/prefix to names of people, (phonetic character), (final part.)/(interj.), flatter"	
513	消	72.64596511	0.041720648	xiao1	consume/news/subside/to disappear/to vanish	
514	图	72.68767881	0.041713694	tu2	diagram/to plan/picture/drawing/chart	
515	星	72.72937396	0.041695151	xing1	star/satellite/small amount	
516	落	72.77081646	0.041442498	la4/luo4	"leave behind, alight/to fall/to drop (behind)"	
517	礼	72.81217512	0.041358666	li3	gift/propriety/rite	
518	营	72.85333483	0.041159711	ying2	army/to deal in/to trade/to operate/to run/camp/nourishment/to manage	
519	增	72.89438367	0.041048837	zeng1	to increase/to expand/to add	
520	土	72.93537572	0.040992048	tu3	earth/dust	
521	际	72.97634343	0.04096771	ji4	border/edge/boundary/between/among/interval/while	
522	致	73.01725358	0.040910148	zhi4	"fine and close, to send/to devote/to deliver/to cause/to convey"	
523	志	73.05809342	0.040839838	zhi4	"the will, sign/mark/to record/write a footnote"	
524	夜	73.09890273	0.040809319	ye4	night	
525	需	73.1395892	0.040686469	xu1	to require/to need/to want/necessity/need	
526	皆	73.18023202	0.040642815	jie1	all/each and every/in all cases	
527	左	73.2207968	0.040564778	zuo3	left	
528	究	73.26126731	0.040470516	jiu1	after all/to investigate/to study carefully	
529	汉	73.30170036	0.040433043	han4	Chinese/name of a dynasty	
530	念	73.34200089	0.040300535	nian4	"read aloud, to read aloud"	
531	既	73.38225429	0.040253404	ji4	already/since/both... (and...)	
532	送	73.42222916	0.039974867	song4	to deliver/to carry/to give (as a present)/to present (with)/to see off/to send	
533	显	73.46219437	0.039965209	xian3	prominent/conspicuous	
534	置	73.50207304	0.039878673	zhi4	to install/to place/to put	
535	亚	73.54192893	0.039855881	ya4	Asia/Asian/second/next to/inferior	
536	推	73.58175004	0.039821112	tui1	push/refuse (responsibility)/shove	
537	居	73.62147186	0.039721828	ju1	reside	
538	列	73.66115197	0.039680105	lie4	to arrange/to line up/row/file/series	
539	君	73.70073858	0.039586615	1-Jun	monarch/lord/gentleman/ruler	
540	包	73.74027575	0.039537166	bao1	to cover/to wrap/to hold/to include/to take charge of/package/wrapper/container/bag/to hold or embrace/bundle/packet/to contract (to or for)	
541	技	73.779726	0.039450244	ji4	skill	
542	线	73.81893672	0.039210726	xian4	thread/string/wire/line	
543	弟	73.85814513	0.039208408	di4	younger brother	
544	客	73.89728245	0.039137325	ke4	customer/visitor/guest	
545	委	73.93634367	0.03906122	wei1/wei3	"crooked, give up/indeed/to commission"	
546	终	73.97538481	0.039041131	zhong1	end/finish	
547	选	74.01416517	0.038780365	xuan3	to choose/to pick/to select/to elect	
548	龙	74.05293124	0.038766071	long2	dragon/imperial/Long (a surname)	
549	势	74.09143037	0.038499124	shi4	conditions/influence/tendency	
550	考	74.1298785	0.03844813	kao3	to check/to verify/to test/to examine	
551	右	74.16814892	0.038270423	you4	right (-hand)	
552	属	74.20635483	0.038205907	shu3/zhu3	"belong to/category/be subordinate to/genus (taxonomy)/be born in the year of (one of the 12 animals)/family members/dependants, join together/fix one's attention on/concentrate on"	
553	酒	74.24431658	0.037961753	jiu3	wine/liquor/spirits	
554	农	74.28220184	0.037885261	nong2	agriculture	
555	片	74.3200589	0.03785706	pian1/pian4	"disc/sheet, a slice/piece/flake/thin/slice"	
556	希	74.35788428	0.037825382	xi1	rare/infrequent	
557	破	74.39567914	0.037794862	po4	to break/to split/broken/damaged/worn out	
558	谓	74.43337318	0.037694033	wei4	speak of	
559	喜	74.47101235	0.037639175	xi3	to be fond of/to like/to enjoy/to be happy/to feel pleased/happiness/delight/glad	
560	费	74.50861521	0.037602861	fei4	to cost/to spend/fee/wasteful/expenses/(surname)	
561	谈	74.54611686	0.037501645	tan2	to speak/to talk/to converse/to chat/to discuss/(surname)	
562	音	74.58355399	0.03743713	yin1	sound/noise/news	
563	查	74.62096717	0.037413178	cha2/zha1	"to research/to check/to investigate/to examine/to refer to/to search, (surname)"	
564	专	74.65835099	0.037383818	zhuan1	"for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized, concentrated/specialized"	
565	止	74.6956672	0.037316212	zhi3	to stop/toe	
566	吗	74.7329243	0.037257105	ma3/ma	"morphine, (question tag)"	
567	找	74.76996159	0.037037289	zhao3	to try to find/to look for/to call on (sb)/to find/to seek/to return/to look for	
568	食	74.80695291	0.036991316	shi2/si4	"animal feed/eat/food, to feed"	
569	装	74.84382949	0.036876579	zhuang1	adornment/adorn/costume/dress/clothing	
570	绝	74.88067014	0.036840652	jue2	cut short/extinct/to disappear/to vanish/absolutely/by no means	
571	答	74.91749804	0.036827903	da1/da2	"to answer/agree, reply/answer/return/respond/echo"	
572	敌	74.95429581	0.03679777	di2	enemy/match	
573	害	74.9910507	0.036754888	hai4	to do harm to/to cause trouble to/harm/evil/calamity	
574	密	75.02779554	0.036744844	mi4	secret/confidential/close/thick/dense	
575	研	75.06451566	0.03672012	yan2	grind fine/study/research	
576	刘	75.10113998	0.036624312	liu2	(surname)/to kill	
577	依	75.13773609	0.036596111	yi1	according to/depend on/near to	
578	按	75.17427966	0.036543571	an4	to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of	
579	久	75.21077378	0.036494122	jiu3	(long) time/(long) duration of time	
580	宝	75.24726443	0.036490646	bao3	a jewel or gem/a treasure/precious	
581	攻	75.28367433	0.036409905	gong1	to attack/to accuse/to study	
582	企	75.32001431	0.036339981	qi3	plan a project/stand on tiptoe	
583	案	75.35631527	0.036300962	an4	(legal) case/incident/record/file/table	
584	察	75.39255442	0.036239151	cha2	examine/inquire/observe/inspect/look into/to examine	
585	黑	75.42870859	0.036154161	hei1	black/dark	
586	突	75.46480943	0.036100848	tu1	to dash/to move forward quickly	
587	倒	75.50090371	0.036094281	dao3/dao4	"to fall/to collapse/to topple/to change/to fail/bankrupt, upset/turn over/to tip/to pour/to go home/to the contrary/inverted"	
588	局	75.53689987	0.035996156	ju2	"narrow, (a measure word used for games) set or round office/situation/office"	
589	投	75.57287671	0.03597684	tou2	to throw/to send	
590	衣	75.60884312	0.035966409	yi1/yi4	"clothes, gown/to dress/to wear"	
591	愿	75.64478326	0.035940139	yuan4	"sincere/willing, hope/wish/desire/ready/willing"	
592	省	75.68071374	0.035930481	sheng3/xing3	"frugal/save/to omit/to leave out/to save (money)/province, comprehend/introspect/visit"	
593	欲	75.71658318	0.035869443	yu4	"desire/wish, desire/longing/appetite/wish"	
594	率	75.75244722	0.035864034	lu:4/shuai4/lv4	"rate/frequency, to lead/command"	
595	严	75.78827185	0.035824629	yan2	(air or water) tight/stern/serious/strict/severe	
596	待	75.82392263	0.035650785	dai1/dai4	"stay/delay, wait/treat/deal with/need/about/intending to do something"	
597	归	75.85951701	0.035594383	gui1	to go back/to return	
598	医	75.89506233	0.03554532	yi1	medical/medicine/doctor/to cure/to treat	
599	玉	75.93060147	0.035539139	yu4	jade	
600	船	75.96605871	0.035457239	chuan2	a boat/vessel/ship	
601	奇	76.00150513	0.035446422	ji1/qi2	"odd (Num), strange/odd/weird/wonderful"	
602	护	76.03693456	0.035429424	hu4	protect	
603	卫	76.0723381	0.03540354	wei4	to guard/to protect/to defend/(surname)	
604	岁	76.10772387	0.03538577	sui4	year/years old/(a measure word)	
605	律	76.14305324	0.035329367	lu:4/lv4	law	
606	标	76.17825512	0.035201881	biao1	the topmost branches of a tree/surface/sign/to mark/(outward) sign/indication/prize/award/bid	
607	罪	76.21337317	0.03511805	zui4	guilt/crime/fault/blame/sin	
608	吧	76.24848426	0.035111096	ba1/ba	"(onomat.)/dumb, (modal particle indicating polite suggestion)/...right?/...OK?"	
609	群	76.2834926	0.035008335	qun2	crowd/flock/group	
610	春	76.31837692	0.034884326	chun1	spring (time)/gay/joyful/youthful/love/lust/life	
611	响	76.35318592	0.034808994	xiang3	to make a sound/to sound/to ring/(a measure word for sound)/loud	
612	仍	76.38782648	0.034640558	reng2	still/yet/to remain	
613	某	76.42245583	0.034629355	mou3	(used before measure word and noun) some/(a) certain/so and so	
614	细	76.4570396	0.034583769	xi4	fine/minutely/thin/slender	
615	承	76.49160483	0.034565226	cheng2	to bear/to carry/to hold/to continue/to undertake/to take charge/owing to/due to/to receive	
616	拿	76.52612949	0.034524662	na2	to hold/to seize/to catch/to apprehend/to take	
617	施	76.5606047	0.034475213	shi1	(surname)/distribute (alms)/to do/to execute/to carry out	
618	急	76.59505635	0.034451648	ji2	hurried/worried	
619	职	76.62950104	0.034444694	zhi2	office/duty	
620	另	76.66376417	0.034263123	ling4	other/another/separate/separately	
621	敢	76.69802149	0.034257328	gan3	dare	
622	跟	76.73216524	0.03414375	gen1	to follow/to go with/heel/with/and	
623	讲	76.76630166	0.03413641	jiang3	to talk/speech/to speak/to tell/to explain	
624	防	76.80031019	0.034008538	fang2	to protect/to defend/to guard (against)	
625	独	76.83427392	0.033963725	du2	alone/independent/single/sole/only	
626	责	76.8682303	0.033956385	ze2	duty/responsibility/to reproach/to blame	
627	较	76.90204568	0.033815378	jiao4	clear/distinct/compare/comparatively	
628	威	76.93576371	0.033718026	wei1	power/might/prestige	
629	苏	76.96944503	0.033681325	su1	"loquacious/nag, revive, (plant)/place name/revive"	
630	双	77.00310936	0.033664327	shuang1	two/double/pair/both	
631	善	77.03663036	0.033521002	shan4	good	
632	校	77.06995705	0.033326683	jiao4/xiao4	"proofread/to check/to compare, school"	
633	友	77.10324239	0.033285347	you3	friend	
634	围	77.13651654	0.033274144	wei2	to circle/to surround	
635	仅	77.16964929	0.033132751	jin3	barely/only/merely	
636	纪	77.20277895	0.03312966	ji4	discipline/age/era/period/order/record	
637	族	77.23587847	0.033099527	zu2	race/nationality/ethnicity/clan	
638	谁	77.26897143	0.033092959	shei2/shui2	"who, who"	
639	惊	77.30205512	0.033083688	jing1	to start/to be frightened/to be scared/alarm	
640	底	77.33511756	0.03306244	de/di3	"(possessive part.)/(subor. part.), background/bottom/base"	
641	孩	77.36812205	0.033004492	hai2	child	
642	革	77.40110646	0.032984404	ge2	leather/remove	
643	维	77.43403021	0.032923751	wei2	to preserve/to maintain/to hold together/dimension	
644	巴	77.46693001	0.032899799	ba1	"(suff. for certain nouns)/to hope/to wish/Palestinian, Palestine (abbrev.)/Pakistan (abbrev.)/Pascal (unit of pressure)"	
645	供	77.49978538	0.032855373	gong1/gong4	"offer (information etc.)/supply, offer/sacrificial offering/trial statement/confession"	
646	斗	77.53261835	0.032832966	dou3/dou4	"Chinese peck, to fight/to battle/to struggle/to incite, fight/incite"	
647	降	77.56535125	0.032732909	jiang4/xiang2	"to drop/to fall/to come down/to descend, surrender"	
648	卷	77.59807721	0.032725955	juan3/juan4	"to roll (up)/to sweep up/to carry on, coil/to roll, chapter/examination paper"	
649	姐	77.63078578	0.032708571	jie3	older sister	
650	封	77.66347117	0.032685392	feng1	to confer/to grant/to seal/(a measure word)	
651	构	77.69603681	0.032565632	gou4	Broussonetia papyrifera/to construct/to form/to make up/to compose	
652	站	77.72837065	0.03233384	zhan4	station/to stand/to halt/to stop	
653	验	77.76064113	0.032270484	yan4	to examine/to test/to check	
654	苦	77.79289964	0.032258508	ku3	bitter/intensely/miserable/painful	
655	差	77.82513922	0.032239578	cha1/cha4/chai1/ci1	"difference/discrepancy/to differ/error/to err/to make a mistake, differ from/short of/to lack/poor, send/a messenger/a mission/to commission, uneven"	
656	刻	77.85736643	0.032227216	ke4	quarter (hour)/(a measure word)/to carve/to engrave/to cut/oppressive	
657	益	77.88958863	0.032222194	yi4	benefit/increase	
658	派	77.92180193	0.032213308	pai4	clique/school/group/faction/to dispatch	
659	紧	77.95401486	0.032212922	jin3	tight/nervous/strict	
660	料	77.98622314	0.032208286	liao4	material/stuff/grain/feed/to expect/to anticipate/to guess	
661	异	78.01833639	0.032113252	yi4	"(interj.)/raise/to stop, different/unusual/strange"	
662	例	78.05043806	0.032101662	li4	example/precedent/rule/case/instance	
663	祖	78.08244739	0.032009331	zu3	ancestor/forefather/grandparents	
664	宫	78.11435164	0.031904252	gong1	palace	
665	乱	78.14622151	0.03186987	luan4	in confusion/disorderly	
666	素	78.17805738	0.031835874	su4	plain/element	
667	怕	78.20986312	0.031805741	pa4	to be afraid/to fear	
668	男	78.24163062	0.031767495	nan2	male	
669	效	78.27322427	0.031593651	xiao4	"imitate, effect/efficacy/imitate"	
